Ticker,1977-1983 hrp,1977-1983 max_sharpe,1977-1983 min_volatility,1977-1983 target_return,2000-2004 hrp,2000-2004 max_sharpe,2000-2004 min_volatility,2000-2004 target_return,2007-2011 hrp,2007-2011 max_sharpe,2007-2011 min_volatility,2007-2011 target_return,2021-2023 hrp,2021-2023 max_sharpe,2021-2023 min_volatility,2021-2023 target_return
AX1.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027504782586977115,0.011199735566777,3.13326e-11,1.21454e-11,0.00034796889485874693,2.0425e-12,2.84976e-11,3.62936e-11
EDV.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNV.AX,0.0,0.0,0.0,0.0,0.002028694221075597,0.005405736509868,2.837901e-10,7.56013e-11,0.0,0.0,0.0,0.0,0.0006152735627134425,8.708e-13,2.25701e-11,1.86489e-11
NXD.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010085303514052648,3.852e-12,1.300919e-10,3.219954e-10
PMV.AX,0.0,0.0,0.0,0.0,0.003382110386583871,0.0051389303144288,0.0078489172714915,0.0078489510353135,0.003855240655918583,5.245e-12,5.1014e-11,1.31392e-11,0.000464128389688887,2.2645e-12,2.88998e-11,3.49443e-11
IPD.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTI.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005756273824818378,2.4673e-12,3.00455e-11,3.43945e-11
SGI.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012077237533608051,1.079915e-10,0.0011117637144932,0.0013307477435764
IEL.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044165759035635823,1.9945e-12,2.83512e-11,3.36791e-11
MX1.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006494102233499531,1.3216e-12,1.166939e-10,4.3293e-11
EBR.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLU.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009391503098886306,8.51e-13,6.99588e-11,2.80486e-11
KSC.AX,0.0,0.0,0.0,0.0,0.00302243459154881,0.038158411751526,0.0043348299745247,0.0043347872233436,0.005540272658221712,4.5829e-12,1.160658e-10,2.11479e-11,0.0,0.0,0.0,0.0
MCL.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005375729735335187,8.332e-13,3.48009e-11,2.24245e-11
CYC.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007993991111690212,1.7642e-12,5.18128e-11,4.58266e-11
BDX.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSL.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABX.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004690481641055219,1.6522e-12,3.57612e-11,3.70684e-11
IIQ.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVO.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002090193668464267,2.2097e-12,0.0056416391543466,4.502785e-10
KOV.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRU.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLH.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMP.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000721555931716762,1.2816e-12,3.13955e-11,2.83735e-11
8IH.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVG.AX,0.0,0.0,0.0,0.0,0.010779546019794346,5.419241e-10,0.0023697721265246,0.0023697557539142,0.0,0.0,0.0,0.0,0.0007456328999131093,1.7732e-12,4.43731e-11,4.23636e-11
8VI.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBX.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SST.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTE.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009279855012044423,7.7193e-12,9.69051e-11,2.31863e-10
RHY.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDA.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017854941169886378,1.6635e-12,8.63646e-11,5.10275e-11
AL3.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRX.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTI.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPP.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZ.AX,0.0,0.0,0.0,0.0,0.00535544451050008,0.0182609627568986,0.0132304290586941,0.0132304568066743,0.004338937485220406,2.9694e-12,5.40329e-11,1.0063e-11,0.0,0.0,0.0,0.0
AKG.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009453474471852248,2.3683e-12,1.131996e-10,8.55493e-11
CBL.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSI.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008408917447750949,1.0446e-12,1.1048611e-09,5.10444e-11
SOM.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012050390387856487,1.4277e-12,6.325739e-10,8.08779e-11
GTG.AX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYG.AX,0.0,0.0,0.0,0.0,0.011538237982822783,0.0081100800420433,0.0196644607930141,0.0196644897331201,0.003575182151677976,4.2015e-12,3.40162e-11,8.1206e-12,0.0015935113842672195,6.9344e-12,1.5917706e-09,0.0003589225443179
CNM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA,0.048706566802938236,3.207546e-10,0.0274956752400395,0.0274951980400009,0.00033181974085002804,5.26467e-11,6.09463e-11,1.6429e-11,0.00037487180351281134,2.0664e-12,1.57489e-11,3.7546e-12,0.00012851653531617278,1.2928e-12,1.38143e-11,1.46887e-11
UPS,0.0,0.0,0.0,0.0,0.002556528311053503,1.306073e-10,0.0063817392619869,0.0063817413709437,0.001666916131263561,7.3231e-12,1.696994e-10,3.29083e-11,0.0010469563355510873,2.6012e-12,7.16379e-11,6.28121e-11
TREX,0.0,0.0,0.0,0.0,0.001441962229604418,6.1302e-11,1.633384e-10,4.31798e-11,0.0,0.0,0.0,0.0,0.0003103279982795697,1.403e-12,2.28666e-11,2.37666e-11
INSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002685189560726586,1.554e-12,3.44962e-11,3.30216e-11
EDU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015511488000742252,1.3085e-11,3.60118e-11,1.16914e-11,0.0,0.0,0.0,0.0
